village,latitude,longitude
Baraguru,13.9348717,76.9804449
Bangarupeta,13.969634,79.5994544
Ayanuru,14.0109821,75.4371898
Shirali,14.0287378,74.5278223
Vallipedu,14.0911235,80.0160988
Kumsi,14.0546834,75.400134
Nallacheruvu,13.987277,78.1866187
Holaluru,14.0375849,75.6801772
Kondakamarla,14.0685959,77.9558441
Aimangala,14.0946288,76.5356708
Roddam,14.0938141,77.4280974
Veparala,14.0995739,78.2933106
Eraballi,14.1034422,76.6500806
Savalanga,14.1028957,75.5265
Srirangarajupuram,14.1172,79.0576
Chikkajajuru,14.1271672,76.1414501
Amarapuram,14.1304273,76.9772283
Veeraballe,14.1556575,78.8583243
Chennuru – II,14.155906,79.8105458
Nyamati,14.1491131,75.576148
Nallamada,14.141987,77.982391
Saidapuram,14.177505,79.7428313
Chitvel,14.1724053,79.3303182
Kothacheruvu,14.1870879,77.7671355
Manki,14.1912103,74.4760608
Konapeta,14.2098754,78.6501989
Tyavanige,14.2495518,75.8859901
Gerusoppa,14.2433775,74.6532531
Kasarakod,14.2436885,74.4494106
Nandaluru,14.2704112,79.1079557
Raddivaripalli,14.2673064,78.1991642
Parasurampura,14.2583426,76.8822367
Ulavi,14.2716118,75.109001
Yallappa Nayakana Hosakote,14.2808425,77.173969
Kundurpi,14.2926382,77.033177
Ramagiri,14.3055805,77.497067
Muttukuru,14.2901515,80.0955377
Haladipura,14.3419135,74.4236866
Bilagi,14.3603464,74.7978983
Suntikoppa,14.3166038,74.9911155
Bharamasagara,14.3716034,76.1910867
Dodmane,14.3674324,74.6965356
Hadadi,14.3636422,75.8906875
Navilagona,14.3608573,74.436094
Turuvanuru,14.3996758,76.4388304
Podalakur,14.3844172,79.7331088
Dachuru ( Kotta Dachuru ),14.4094616,79.5730696
Anagodu,14.3948798,76.0436527
Mallapura,14.3920896,74.4688786
Mypadu,14.5069873,80.16498
Tumminakatti,14.4122402,75.6195158
Santeguli,14.4260834,74.5799483
Talaku,14.4489871,76.6801988
Nayakanahatti,14.4687876,76.5441933
Hirekeruru,14.4551224,75.392949
Siddavatam,14.4682526,78.9634519
Anaji,14.4809644,76.080088
Mirjana,14.4910008,74.4249588
Tyagali,14.4877412,74.8673105
Setturu,14.4480961,76.9815981
Nuthimadugu,14.4927566,77.3251092
Bilichodu,14.4934249,76.1597766
Kaluvaya,14.5104773,79.4093017
Kovur,14.5036085,79.9868404
Koda,14.516707,75.4470424
Manjaguni,14.5704186,74.6696886
Ammenalli,14.5469092,74.7381585
Anavatti,14.5639826,75.1528978
Chennur,14.5637396,78.7942887
Havasbhavi,14.5691,75.3687
Sugavi,14.5958447,74.9476554
Madanageri,14.5783382,74.3740459
Chapiri,14.6071361,77.1164883
Hosahalli,14.6481972,76.4675766
Atmakuru ( ATP ),14.6466261,77.3577024
Teligi,14.6525936,75.8921504
Agasura,14.6707475,74.3996029
Katrikoppa,14.6909514,75.0488747
Hulekal,14.6945452,74.7618551
Yekkambi,14.6974183,74.9151973
Beluguppa,14.7178094,77.1341196
Akki Alura,14.7276739,75.1675785
Isakapalle,14.7350648,80.0974112
Hanagal,14.7383723,76.7039857
Kunchuru,14.7315797,75.819423
Avarsa,14.725705,74.2853179
Balimbida,14.7597143,75.2193825
Nandipadu,14.8065027,79.3435598
Holalu,14.8404105,75.7129552
Kanekallu,14.8057843,77.077992
Binaga,14.782508,74.124273
Agadi,14.8192806,75.4680102
Gudekote,14.8312256,76.627009
Gullapura,14.8231331,74.618544
Basapura,14.8290746,75.5621652
Bare,14.8193744,74.4882261
Kaligiri,14.8285214,79.6914016
Vinjamur,14.8368398,79.5806088
Muradi,14.8036314,76.8944959
Duttaluru,14.8526269,79.4045559
Manchikeri,14.8570683,74.8164788
Sadashivagada,14.8539913,74.1349148
Muchukota,14.8493597,77.8748701
Udayagiri,14.8791784,79.3005886
Jaladanki,14.8843085,79.9108091
Gotegali,14.9038585,74.3037971
Idagundi,14.9306324,74.6697914
Hirehadagalli,14.9257704,75.8319224
Uravakonda,14.9467802,77.2577907
Itagi,14.9515483,76.0920437
Bandri,14.9906945,76.4528158
Chagalamarri,14.9645072,78.5891171
Palthur,14.973398,77.1476913
Variguntapadu,14.9932769,79.422645
Swamihalli,14.9722834,76.6118302
Kommi,14.9656193,79.7651268
